20090616	8770.92	8799.26	8612.13	8504.67
20090617	8799.26	8612.13	8504.67	8497.18
20090618	8612.13	8504.67	8497.18	8555.60
20090619	8504.67	8497.18	8555.60	8539.73
20090622	8497.18	8555.60	8539.73	8339.01
20090623	8555.60	8539.73	8339.01	8322.91
20090624	8539.73	8339.01	8322.91	8299.86
20090625	8339.01	8322.91	8299.86	8472.40
20090626	8322.91	8299.86	8472.40	8438.39
20090629	8299.86	8472.40	8438.39	8529.38
20090630	8472.40	8438.39	8529.38	8447.00
20090701	8438.39	8529.38	8447.00	8504.06
20090702	8529.38	8447.00	8504.06	8280.74
20090706	8447.00	8504.06	8280.74	8324.87
20090707	8504.06	8280.74	8324.87	8163.60
20090708	8280.74	8324.87	8163.60	8178.41
20090709	8324.87	8163.60	8178.41	8183.17
20090710	8163.60	8178.41	8183.17	8146.52
20090713	8178.41	8183.17	8146.52	8331.68
20090714	8183.17	8146.52	8331.68	8359.49
20090715	8146.52	8331.68	8359.49	8616.21
20090716	8331.68	8359.49	8616.21	8711.82
20090717	8359.49	8616.21	8711.82	8743.94
20090720	8616.21	8711.82	8743.94	8848.15
20090721	8711.82	8743.94	8848.15	8915.94
20090722	8743.94	8848.15	8915.94	8881.26
20090723	8848.15	8915.94	8881.26	9069.29
20090724	8915.94	8881.26	9069.29	9093.24
20090727	8881.26	9069.29	9093.24	9108.51
20090728	9069.29	9093.24	9108.51	9096.72
20090729	9093.24	9108.51	9096.72	9070.72
20090730	9108.51	9096.72	9070.72	9154.46
20090731	9096.72	9070.72	9154.46	9171.61
20090803	9070.72	9154.46	9171.61	9286.56
20090804	9154.46	9171.61	9286.56	9320.19
20090805	9171.61	9286.56	9320.19	9280.97
20090806	9286.56	9320.19	9280.97	9256.26
20090807	9320.19	9280.97	9256.26	9370.07
20090810	9280.97	9256.26	9370.07	9337.95
20090811	9256.26	9370.07	9337.95	9241.45
20090812	9370.07	9337.95	9241.45	9361.61
20090813	9337.95	9241.45	9361.61	9398.19
20090814	9241.45	9361.61	9398.19	9321.40
20090817	9361.61	9398.19	9321.40	9135.34
20090818	9398.19	9321.40	9135.34	9217.94
20090819	9321.40	9135.34	9217.94	9279.16
20090820	9135.34	9217.94	9279.16	9350.05
20090821	9217.94	9279.16	9350.05	9505.96
20090824	9279.16	9350.05	9505.96	9509.28
20090825	9350.05	9505.96	9509.28	9539.29
20090826	9505.96	9509.28	9539.29	9543.52
20090827	9509.28	9539.29	9543.52	9580.63
20090828	9539.29	9543.52	9580.63	9544.20
20090831	9543.52	9580.63	9544.20	9496.28
20090901	9580.63	9544.20	9496.28	9310.60
20090902	9544.20	9496.28	9310.60	9280.67
20090903	9496.28	9310.60	9280.67	9344.61
20090904	9310.60	9280.67	9344.61	9441.27
20090908	9280.67	9344.61	9441.27	9497.34
20090909	9344.61	9441.27	9497.34	9547.22
20090910	9441.27	9497.34	9547.22	9627.48
20090911	9497.34	9547.22	9627.48	9605.41
20090914	9547.22	9627.48	9605.41	9626.80
20090915	9627.48	9605.41	9626.80	9683.41
20090916	9605.41	9626.80	9683.41	9791.71
20090917	9626.80	9683.41	9791.71	9783.92
20090918	9683.41	9791.71	9783.92	9820.20
20090921	9791.71	9783.92	9820.20	9778.86
20090922	9783.92	9820.20	9778.86	9829.87
20090923	9820.20	9778.86	9829.87	9748.55
20090924	9778.86	9829.87	9748.55	9707.44
20090925	9829.87	9748.55	9707.44	9665.19
20090928	9748.55	9707.44	9665.19	9789.36
20090929	9707.44	9665.19	9789.36	9742.20
20090930	9665.19	9789.36	9742.20	9712.28
20091001	9789.36	9742.20	9712.28	9509.28
20091002	9742.20	9712.28	9509.28	9487.67
20091005	9712.28	9509.28	9487.67	9599.75
20091006	9509.28	9487.67	9599.75	9731.25
20091007	9487.67	9599.75	9731.25	9725.58
20091008	9599.75	9731.25	9725.58	9786.87
20091009	9731.25	9725.58	9786.87	9864.94
20091012	9725.58	9786.87	9864.94	9885.80
20091013	9786.87	9864.94	9885.80	9871.06
20091014	9864.94	9885.80	9871.06	10015.86
20091015	9885.80	9871.06	10015.86	10062.94
20091016	9871.06	10015.86	10062.94	9995.91
20091019	10015.86	10062.94	9995.91	10092.19
20091020	10062.94	9995.91	10092.19	10041.48
20091021	9995.91	10092.19	10041.48	9949.36
20091022	10092.19	10041.48	9949.36	10081.31
20091023	10041.48	9949.36	10081.31	9972.18
20091026	9949.36	10081.31	9972.18	9867.96
20091027	10081.31	9972.18	9867.96	9882.17
20091028	9972.18	9867.96	9882.17	9762.69
20091029	9867.96	9882.17	9762.69	9962.58
20091030	9882.17	9762.69	9962.58	9712.73
20091102	9762.69	9962.58	9712.73	9789.44
20091103	9962.58	9712.73	9789.44	9771.91
20091104	9712.73	9789.44	9771.91	9802.14
20091105	9789.44	9771.91	9802.14	10005.96
20091106	9771.91	9802.14	10005.96	10023.42
20091109	9802.14	10005.96	10023.42	10226.94
20091110	10005.96	10023.42	10226.94	10246.97
20091111	10023.42	10226.94	10246.97	10291.26
20091112	10226.94	10246.97	10291.26	10197.47
20091113	10246.97	10291.26	10197.47	10270.47
20091116	10291.26	10197.47	10270.47	10406.96
20091117	10197.47	10270.47	10406.96	10437.42
20091118	10270.47	10406.96	10437.42	10426.31
20091119	10406.96	10437.42	10426.31	10332.44
20091120	10437.42	10426.31	10332.44	10318.16
20091123	10426.31	10332.44	10318.16	10450.95
20091124	10332.44	10318.16	10450.95	10433.71
20091125	10318.16	10450.95	10433.71	10464.40
20091127	10450.95	10433.71	10464.40	10309.92
20091130	10433.71	10464.40	10309.92	10344.84
20091201	10464.40	10309.92	10344.84	10471.58
20091202	10309.92	10344.84	10471.58	10452.68
20091203	10344.84	10471.58	10452.68	10366.15
20091204	10471.58	10452.68	10366.15	10388.90
20091207	10452.68	10366.15	10388.90	10390.11
20091208	10366.15	10388.90	10390.11	10285.97
20091209	10388.90	10390.11	10285.97	10337.05
20091210	10390.11	10285.97	10337.05	10405.83
